ARDACODE,WAVE,ICOUNTRY,UNREGION,CIANAME,UNNAME,ISO3,NUMISO,COWCODE,GRI2008,GFI2008,MSRI2008,RELRECOD,UNHDI80,UNHDI90,UNHDI00,UNHDI05,UNHDI10,UNHDRK10,UNH_8010,UNH_9010,UNH_0010,UNHDIMP,UNINHDI,UNINLEPC,UNINEDUC,UNIN_INC,UN_GINI,UN_GII,UN_GII_R,UNMMORTR,UNADFERT,UNFEMPS,UNSED_F,UNSED_M,UN_CONTR,UNANTEN,UNBIRSK,UNMPI,UNMPIPOP,UNMPIRSK,UNDEP_ED,UNDEP_H,UNDEP_LS,UNPOVNPL,UNPOLFRE,UNHUMNR,UNPRESS,UNJOURN,UNBRIBE,UNDECNTR,UNPOLEN,UNADJNS,UNFOSSIL,UNRENEW,UNCO2_90,UNCO2_06,UNPROTEC,UNDEGRAD,UNACCH20,UNACCSAN,UNPOLDTH,UNNTLDIS,UNARMS_E,UNARMS_I,UNREFUGE,UNCIVINT,UNDRNR92,UNDRNR06,UNDEPR92,UNDEPR06,UNSATI,UNSATIF,UNSATJOB,UNSATHLT,UNSATLIV,UNHOMIC,UNROBBRY,UNASVICT,UNSAFWLK,UNPOP90,UNPOP10,UNPOP30,UNGR9095,UNGR1015,UNURB90,UNURB10,UNMAGE90,UNMAGE10,UNDRAT90,UNDRAT10,UNTFR95,UNTFR15,UNSEXR90,UNSEXR10,UNEMRT91,UNEMRT08,UNFEMP,UNFEMPF,UNVEMP,UNVEMPF,UNEMP125,UNCHLAB,UNMATLV,UNLIT,UNSECED,UNPRIM_G,UNPRIM_N,UNSEC_G,UNSEC_N,UNTERT_G,UNDROP,UNREPIT,UNPUPT,UNTRAIN,UNHLTH_,UNDOCS,UNBEDS,UNDTP,UNMEASLE,UNHIV_YF,UNHIV_YM,UNHIV_A,UNINFM,UN_5M,UNMORT_F,UNMORT_M,UNNONCOM,UNEXP_ED,UNEXP_H,UNEXP_RD,UNEXP_M,UNEXP_D,UNTAXREV,UNGFC,UNINVEST,UNODA_T,UNODA_PC,UNODASOC,UNREMITT,UNREMITP,UNGDP,UNGDPPPP,UNGDPCAP,UNGDPGRO,UNCPI_CH,UNROAD,UNRAIL,UNAIRFR,UNNOELEC,UNNEWSP,UNRADIO,UNTVCOV,UNPHONO,UNPHOPER,UNMOBCOV,UNNETUSE,UNNETGRO,UNBROADB,UNPCS,UNMOBCHG,UNFIXCHG,UNCALLP,CIATAREA,CIALAREA,CIAWAREA,CIABORD,CIACSTL,CIAPOP,CIAPSTR1,CIAPSTR2,CIAPSTR3,CIAPOPGR,CIABIRTH,CIAMORT,CIAMIGR,CIAURB_P,CIAURB_R,CIAINF_T,CIAINF_M,CIAINF_F,CIALIFEX,CIALIF_M,CIALIF_F,CIA_TFR,CIAHIV_R,CIAHIV_P,CIALIT_T,CIALIT_M,CIALIT_F,CIAEDEX,CIAGDPPP,CIAGDPOF,CIAGDPAG,CIAGDPIN,CIAGDPSV,CIALABOR,CIAUNEMP,CIAPOVL,CIAINVST,CIA_REV,CIA_EXPN,CIAPDEBT,CIAINFLA,CIAINGRO,CIAELPRO,CIAELCON,CIAELEX,CIAELIMS,CIAOIL_P,CIAOIL_C,CIAOIL_E,CIAOIL_I,CIAOIL_R,CIANG_P,CIANG_C,CIANG_E,CIANG_I,CIANG_R,CIA_ACC,CIAEXPRT,CIAIMPRT,CIARSRV,CIADEBTX,CIATELE1,CIATELE2,CIANET1,CIANET2,CIA_AIR1,CIA_AIR2,CIA_AIR3,CIA_HELI,CIA_RAIL,CIA_ROAD,CIA_WW,CIA_MILX,GRI_08R,GFI_08R,MSRI_08R,I_RELIGION,I_REGION,I_GVTREG,I_GVTFAV,I_SOCREG
56,2011.46,Comoros,5,Comoros,Comoros,COM,174,581,9.444,6.732962963,10,7,,,,0.423,0.428,-8,,,,,0.24,0.534,0.185,0.14,64.26666667,,,400,45.7,3,,,25.66666667,75,62,0.408,73.9,16,60.1,45.7,90.26666667,,2,,19,0,11,,,7,,,0.1,0.1,0,,5,64,664,47708,,5,0.4,0,40,51,16,19,,,,67,23,,,9,78,0.4,0.7,1,2.366666667,2.1,27.86666667,28.16666667,16.8,21.1,97,69.9,5.066666667,3.6,102.7,103.4,70,69.4,,,,,64.56666667,27,,73.56666667,,121.5,72.9,45.76666667,,2.7,28.3,24.36666667,30.16666667,57.36666667,37,2,22,19,24,-1,0.1,-1,75,105,231,286,713,7.566666667,1.9,,,2.266666667,,16.1,1.5,7,58.2,60.36666667,2.266666667,22,0.5,0.8,824,0.1,,,,,,,,,19,1706,40,3.6,1441,,,0,120.5666667,15,2235,2235,0,0,340,794683,41.6,55.26666667,3.1,2.696,34.18888889,7.23,0,28,2.798888889,62.63,70.29888889,54.72888889,64.2,61.75888889,66.71888889,4.718888889,0.1,-1,56.5,63.6,49.26666667,7.598888889,789400000,557000000,40,4,56,0.2685,20,60,,0.0276,,,3,,0.022,0.02046,0,0,0,1000,0,766.2,0,0,0,0,0,0,0.007999959,0.032,0.143,,0.232,25400,100000,14,24300,4,4,,,,880,,2.798888889,9,7,10,4,1,3,3,3
57,2011.46,"Congo, Democratic Republic of the",10,"Congo, Democratic Republic",Democratic Republic of the Congo,COD,180,490,2.222,2.9,6,2,0.267,0.261,0.201,0.223,0.239,0,-0.37,-0.44,1.75,94,0.153,0.209,0.244,0.07,44.36666667,0.814,137,1100,201.4,7.7,10.66666667,36.2,20.6,85,74,0.393,73.2,16.1,48.36666667,48.2,85.5,71.26666667,1,5,53.5,0,,0,19,-2.5,4,96,0.1,0,10,0,54,77,3260,1288,,,368,1,29,75,15,25,4.4,3.6,60,74,40,,,13,47,37,67.76666667,108.5666667,3.9,2.6,27.8,35.2,16.36666667,16.6,99.56666667,96.2,7.066666667,5.5,100.7666667,100.7,67.76666667,66.7,,,,,69.56666667,32,105,66.56666667,19.5,90.4,32.36666667,34.76666667,,5,20.5,15.3,39,93.26666667,17,1,8,31,33,,,,126,199,373,443,921,,1.166666667,0.5,1.366666667,6.2,6.266666667,23.86666667,8.566666667,15.59888889,25.1,46.76666667,,,11.66666667,20.16666667,182,-3,26.86666667,,4007,,88.7,,75,90,,,,,,,,,,,2344858,2267048,77810,10730,37,71712867,44.36666667,53,2.6,2.613962963,37.74,11.06,-0.54,35,4.5,78.43,82.2,74.54888889,55.32888889,53.89888889,56.79888889,5.24,,,67.2,80.9,54.1,,23580000000,12600000000,37.36666667,26,36.6,23.53,,71,,0.7,2,,26.19888889,,8.217,5.997,1916,6,16360,10000,20090,11350,180,0,0,0,0,0.9911,-1.47,3.8,5.299999999,1.01,13.5,40000,10163000,3006,290000,198,26,172,,4007,153497,15000,2.5,2,3,6,1,1,1,1,2
58,2011.46,"Congo, Republic of the",10,"Congo, Republic of the",Congo,COG,178,484,0,0,1.667,2,0.462,0.499,0.458,0.47,0.489,-4,0.19,0,0.65,90,0.334,0.312,0.33,0.36,47.26666667,0.744,121,740,112.7666667,9.166666667,43.76666667,48.7,44.26666667,86,86,0.27,55.86666667,22.5,21.66666667,47.6,73.76666667,42.26666667,1,3,34.26666667,0,43,,25,-57.1,39,58,0.5,0.4,9.5,0,29,70,898,862,,,19.86666667,0,40,21,17,14,3.6,,67,62,32,,,11,41,2.366666667,3.766666667,5.5,2.6,2.266666667,54.26666667,62.1,17.8,19.5,91.4,78.56666667,5.2,3.9,101.7666667,101.7,65.5,64.56666667,,,,,66.7,25,,,34.76666667,114,58.86666667,43.1,,3.9,29.8,22.36666667,51.76666667,89,90,1,16,11,21,2.266666667,3.5,3.5,80,127,374,389,716,1.8,1.7,,1.1,1.3,6.2,20.5,24.5,6,139.5,15.8,0.1,4,10.66666667,14.3,2966,2,3.1,5,795,,74.7,,,,51,1888,53,4.266666667,19275,,,,,,342000,341500,500,5504,169,4243929,45.6,51.7,2.766666667,2.835,40.54888889,11.49,-0.71,62,3,76.04888889,81.45888889,70.48,54.90888889,53.61888889,56.25,5.678888889,3.398888889,77000,83.76666667,89.56666667,78.4,1.9,17450000000,11880000000,4.4,63.7,32,1.514,,,41.5,3.818,2.599,,5.2,12,0.4,0.471,0,449,274400,10000,241100,2136,1600,0.18,0.18,0,0,90.61,-0.569,9.2,3.607,4.123,5,24300,2171000,42,245200,25,6,19,,886,17289,1120,0.9,0,0,2,1,1,0,0,1
59,2011.46,Cook Islands,14,Cook Islands,Cook Islands,COK,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,236,0,0,120,11124,25.1,65,9.9,-3.2,15.36888889,7.37,,75,1.398888889,15.81,19.23888889,12.21,74.7,71.90888889,77.62,2.39,,,95,,,,183200000,183200000,29,15,56,0.006819999,13.06666667,,,0.07095,0.06905,,2.1,1,0.031,0.02883,0,0,0,1000,0,495,0,0,0,0,0,0,0.026669959,0.005222,0.081039999,,0.141,6900,7000,2521,6000,10,1,9,,,320,,,,,,,3,,,
60,2011.46,Costa Rica,4,Costa Rica,Costa Rica,CRI,188,94,1.389,8.099962963,4.333,2,0.599,0.639,0.684,0.708,0.725,-1,0.63,0.63,0.59,68,0.576,0.858,0.519,0.428,48.86666667,0.501,51,30,67,36.76666667,54.36666667,52.76666667,,90,94,,,,,,,23.86666667,2,,8,0,9,2,31,9.066666667,47,53,1,1.8,20.86666667,1,3,5,118,11383,,,0.4,0,-1,-1,8,8,8.5,8.5,88,90,83,8.3,527,16,44,3.1,4.566666667,5.766666667,2.366666667,1.3,50.7,64.4,22.5,28.16666667,69,46.6,3,1.9,105.0666667,104.7666667,56.26666667,56.26666667,80.2,1,19.66666667,1.02,2.9,5,120,96,29.86666667,109.9,,89.2,,25.3,5.7,7,19,86,899,13,13,10,9,0.2,0.4,0.4,10,11,68,124,439,5,5.9,0.4,0,5.4,15.8,24.16666667,6.766666667,0.2,14.56666667,31.8,2,134,29.66666667,50.7,6564,1.9,11.3,72,,11,0,65,,,74,199,69,32.26666667,540,2.366666667,,5.5,39.7,2,51100,51060,40,639,1290,4576562,24.6,69.06666667,6.4,1.308,16.53888889,4.33,0.87,64,2.1,9.448888889,10.3,8.56,77.71888889,75.09888889,80.45888889,1.93,0.3,9800,94.9,94.7,95.06666667,6.298888889,51550000000,35440000000,6.266666667,22.86666667,70.76666667,2.169999999,7.266666667,16,20.8,5.085,6.921,42.36666667,5.798888889,3,9.29,8.25,77.15888889,203.1988889,0,44000,2117,46260,0,0,0,0,0,0,-1.349,10.01,13.32,4.583999959,8.55,1493000,1950000,34024,1485000,151,39,112,,278,35330,730,0.6,1,8,4,1,5,1,3,2
61,2011.46,Cote d'Ivoire,20,Cote d'Ivoire,Cote d'Ivoire,CIV,384,437,0.833,4.533,5.333,1,0.35,0.36,0.379,0.383,0.397,-4,0.42,0.48,0.47,89,0.254,0.361,0.16,0.281,48.36666667,0.765,130,810,129.9,8.9,13.56666667,25.16666667,12.9,85,57,0.32,52.2,16.36666667,62.7,40.6,37.7,,0,3,29,0,22,,,1.7,23,77,0.5,0.4,22.6,1,20,77,1884,39,,,22.16666667,0,15,14,13,11,4.5,4.5,,68,17,0.4,3,6,47,12.56666667,21.6,32.6,3.366666667,2.266666667,39.7,50.6,17.66666667,19.5,90.26666667,79.56666667,5.9,4.2,100.7,101,62.5,60.36666667,,,,,26.3,35,98,54.6,,74.5,56,26.3,21.16666667,8.4,10.5,18,41.86666667,100,67,1,4,26,37,2.366666667,0.8,3.9,81,114,354,367,946,4.566666667,1,,1.5,4.7,15.56666667,10.06666667,1.7,2.7,29.86666667,45.6,0.8,9,23.36666667,34,1137,-1.1,3,25,639,,50.5,,,,52,1367,59,3.2,1550,0.1,,19.1,22.3,20,322463,318003,4460,3110,515,21504162,39.76666667,57.2,3,2.077962963,30.94888889,10.16,0,51,3.7,64.78,71.54,57.82888889,56.78,55.78888889,57.81,3.92,3.398888889,450000,48.7,60.76666667,38.6,4.598888889,37800000000,22380000000,28.16666667,21.3,50.6,7.617,,42,9.666666667,4.755,5.158,63.26666667,1.398888889,4.5,5.275,3.231,772,0,58950,24000,115700,80960,250,1.3,1.3,0,0,28.32,0.534,10.25,7.014999999,3.985,11.6,282100,13346000,9865,967300,27,7,20,,660,80000,980,1.5,1,5,5,3,1,1,2,2
62,2011.46,Croatia,19,Croatia,Croatia,HRV,191,344,0,7.933,6,2,,,0.72,0.752,0.767,-2,,,0.63,,0.65,0.844,0.636,0.512,29,0.345,30,7,14.06666667,20.86666667,57.36666667,72.26666667,,,100,0.006962963,1.6,,2.266666667,2.366666667,0.4,11.06666667,2,1,17.16666667,0,,,19,11.3,87,7,3.7,5.2,7.266666667,18,1,1,225,52,,99,97,0,,-1,10,4,6,,78,77,48,1.6,28,9,73,4.5,4.4,4.2,0.7,-0.2,54,57.7,35.76666667,41.6,46.7,47.7,1.5,1.5,104.9,105.7666667,49.86666667,49.86666667,83.76666667,0.98,16.16666667,1.12,1.3,,365,98.7,78,98.56666667,90.2,93.56666667,88.26666667,47,0.2,0.3,17.3,100,1398,26,53,4,4,,,-1,5,6,65,163,578,3.9,6.566666667,0.9,1.9,,20.36666667,27.6,6.9,0.6,89.7,31.3,2.266666667,361,69.26666667,78.26666667,15637,2.1,2.766666667,51,2722,2,,,,,175,176,100,50.5,632,11.9,,20.3,123.5666667,13,56594,55974,620,1982,5835,4483804,15.06666667,68.06666667,16.86666667,-0.075962963,9.598888889,11.91,1.55,58,0.4,6.16,6.24,6.08,75.79,72.17,79.59888889,1.43,-1,-1,98.06666667,99.26666667,97.06666667,4.598888889,78520000000,59920000000,6.766666667,27.16666667,66,1.762,17.6,17,22.36666667,22,24.29,55,1.3,-0.9,11.49,18,5668,12240,23960,106000,43750,122100,73.34888889,2.847,3.205,0.6955,1.22,30.58,-2.311999959,11.51,20.93,13.78999996,59.7,1859000,6035000,1287000,2234000,69,23,46,1,2722,29343,785,2.39,0,8,6,1,4,0,3,2
63,2011.46,Cuba,3,Cuba,Cuba,CUB,192,40,7.777962963,0,0,2,,,,,,,,,,,,,,,,0.473,47,45,45.2,43.2,73.9,80.4,72.56666667,100,100,,,,,,,,0,3,94,22,,1,40,,87,13,3.1,2.6,6.266666667,17,6,9,233,97163,,,,,,,,,,,68,76,,,,6,51,10.56666667,11.16666667,11,0.6,0,73.4,75.2,28.16666667,38.26666667,45.5,42.1,1.7,1.5,106.4,106.7666667,52.36666667,54.36666667,83.06666667,1.22,,,,,,99.76666667,68.76666667,101.9,98.76666667,91.4,84.26666667,121.5,4.4,0.5,9.566666667,100,917,64,60,1,1,0.1,0.1,0.1,5,6,81,122,437,13.56666667,9.9,0.4,,,,,,,11.3,50.36666667,,,,,,,,,5076,32,2.7,65,,98,13,190,77,12.9,2317,0,5.566666667,120,,,110860,109820,1040,29,3735,11087330,17.3,71.06666667,11.66666667,-0.103962963,9.99,7.468888889,-3.56,75,0,4.9,5.268888889,4.518888889,77.7,75.45888889,80.07888889,1.44,0.1,7100,99.76666667,99.76666667,99.76666667,13.59888889,1.14E+11,57490000000,4.2,22.66666667,72.9,5.163999999,2,,10.5,46.51,48.89,34.36666667,0.7,0.8,16.89,13.93,0,0,48340,169000,0,104800,178.9,0.4,0.4,0,0,70.79,-0.086999959,3.311,10.25,4.847,19.75,1168000,443000,3025,1606000,136,65,71,,8598,60858,240,3.798888889,8,0,0,1,5,3,0,0
64,2011.46,Cyprus,21,Cyprus,Cyprus,CYP,196,352,0.833,6.599962963,0.667,3,0.662,0.723,0.768,0.793,0.81,4,0.67,0.57,0.54,44,0.716,0.901,0.626,0.65,,0.284,15,10,6.066666667,14.3,64,75.2,,,100,,,,,,,,2,1,5.5,0,18,2,16,-2.766666667,97,3,6.766666667,9.166666667,11,11,0,0,242,0,,,0,0,-1,-1,6,10,7.066666667,7.066666667,89,89,84,1,8,4,65,0.7,0.9,1.1,1.366666667,1,66.76666667,70.26666667,30.86666667,36.5,58.1,44.2,2.366666667,1.6,107.0666667,106.7666667,59.86666667,57.5,85.5,1.06,14.4,0.69,,,,97.76666667,58.7,102.5,99,97.76666667,95.06666667,36.2,1.6,0.4,15,,3034,23,37,3,13,,,,4,4,39,84,412,7.066666667,3,0.4,1.8,,56.7,23.3,15.5,,,,1.1,323,24.86666667,21.3,31410,3.366666667,2.766666667,132,,,,,75,75,163,113,100,38.76666667,179,16.36666667,38.26666667,37.5,147.0666667,7,9251,9241,10,150.4,648,1120489,16.16666667,73.4,10.4,1.617,11.41,6.45,11.21,70,1.3,9.38,11.23,7.428888889,77.81888889,75.04,80.73888889,1.45,0.1,-1,97.56666667,98.9,96.26666667,4.098888889,23180000000,22750000000,2.1,18.6,79.26666667,0.4,5.566666667,,19.66666667,9.308,10.61,61.1,2.398888889,0.1,4.502,4.277,0,0,0,59000,0,58930,0,0,0,0,0,0,-2.5,2.232,7.961999999,,,500728,1125022,187881,433900,15,13,2,9,,14671,,3.798888889,0,7,1,2,2,0,3,1
65,2011.46,Czech Republic,7,Czech Republic,Czech Republic,CZE,203,316,0,4.7,2.666962963,0,,,0.801,0.838,0.841,-2,,,0.5,,0.79,0.862,0.859,0.667,25.8,0.33,27,4,10.56666667,16,85.5,87.56666667,,,100,0,0,3.1,0,3.1,0,,2,1,5,0,,,27,13.4,83,5,12.66666667,11.3,15.06666667,4,0,2,167,2344,33,20,1.366666667,0,-1,-1,7,10,6.9,6.766666667,80,77,65,2,45,6,60,10.3,10.4,10.5,0,0.2,75.2,73.5,35.2,39.6,51.5,41.5,1.7,1.5,104.9,105.7,58.2,54.26666667,87.5,1.08,12.5,0.56,,,196,,99.76666667,102.0666667,92.2,95,,54.26666667,1.1,0.6,17.3,,1626,36,81,1,3,,-1,,3,4,65,143,559,4.566666667,5.766666667,1.6,1.3,,14.8,23.86666667,5,,,,0.7,136,215.5,256.8666667,20673,0.2,2.5,163,9487,27,,183,,,154,94,100,57.76666667,500,17.1,,0,34.76666667,20,78867,77247,1620,1989,0,10190213,13.5,70.2,16.3,-0.12,8.698888889,10.85888889,0.97,74,0.3,3.73,4.058888889,3.378888889,77.18888889,73.93,80.65888889,1.26,-1,2000,,,,4.2,2.63E+11,1.95E+11,2.2,38.26666667,59.5,5.37,7.066666667,,22.5,77.9,87.87,40,1.5,15.9,82.25,53.42,22230,8580,10970,207600,29670,219900,15,0.178,8.164,1.111,9.683,3.072,-5.956,116.5,109.2,42.34,86.79,2092000,14258000,3494000,6681000,122,44,78,1,9632,127719,664,1.46,0,5,3,6,4,0,2,1
66,2011.46,Denmark,13,Denmark,Denmark,DNK,208,390,0.833,8.099962963,3.333,4,0.77,0.797,0.842,0.86,0.866,-3,0.39,0.41,0.27,69,0.81,0.884,0.813,0.738,24.66666667,0.209,2,3,6,38,59,65.56666667,,,,,,,,,,,2,2,0,0,5,2,37,13.8,82,18,9.8,9.9,5,9,0,0,111,0,15,90,0,0,-1,-1,,,8.166666667,8.3,94,84,93,1.366666667,62,1,83,5.066666667,5.5,5.566666667,0.3,0.2,84.76666667,86.9,37.1,40.76666667,48.36666667,53.2,1.8,1.9,105.5,105.7666667,59.36666667,60.26666667,95,1.03,5,0.52,,,126,,68.06666667,99,95.56666667,119.2,89.56666667,80.26666667,7.9,,,,3513,32,35,25,11,0.1,0.2,0.2,4,4,67,112,495,7.9,8.166666667,2.6,1.366666667,,35.6,21.5,0.9,0.82,,,0.3,162,341.3,202.4,62118,1.6,2,168,2133,,,353,100,100,170,29,114,83.26666667,118,37.1,55.1,19.36666667,186.3,14,43094,42434,660,68,7314,5529888,17.6,65.26666667,17.1,0.251,10.28888889,10.18888889,2.41,87,0.4,4.24,4.298888889,4.178888889,78.62888889,76.25,81.14,1.74,0.2,5300,99,99,99,7.798888889,2.01E+11,3.12E+11,1.1,22.8,76.06666667,2.82,4.2,12.09888889,17.5,160.3,175.9,46.6,2.6,4,36.4,34.3,11360,12820,262100,166500,268500,173100,1060,8.398,4.41,3.98,0,61.3,14.34999996,99.37,90.83,,559.5,2062000,7406000,4145000,4750000,92,28,64,,2667,73197,400,1.3,1,8,3,3,4,1,3,1
67,2011.46,Dhekelia,21,Dhekelia,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.8,,,103,27.5,15700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
68,2011.46,Djibouti,5,Djibouti,Djibouti,DJI,262,522,1.667,3.733,9.333,7,,,,0.382,0.402,-1,,,,,0.252,0.338,0.144,0.329,39.86666667,,,650,23,13.9,,,17.8,92,93,0.139,29.3,16.1,39.26666667,25.6,28.1,,0,,31,0,13,,29,,,,0.7,0.6,0,8,8,44,885,94144,,,0.7,0,60,31,22,12,5.7,5.7,89,86,77,,,11,84,0.6,0.9,1.166666667,2.1,1.6,75.7,76.2,17.8,21.5,86.5,63.6,5.9,3.5,101.7,102.2,,,,,,,,8,,,,55.5,45.26666667,29.5,24.36666667,2.6,,10.56666667,,80.26666667,148,2,,11,27,2.1,0.7,3.1,76,95,283,335,862,8.666666667,5.5,,3.7,2.766666667,,38.86666667,28.86666667,12.69888889,142.1666667,40.26666667,3.5,36,0.9,1.8,1030,-2.1,,,781,,,,,,15,1186,85,2.266666667,1253,0.3,3.766666667,28.1,56.2,8,23200,23180,20,516,314,757074,35,61.7,3.266666667,2.237,25.26888889,8.23,5.33,76,1.8,54.93888889,62.63,47.02,61.14,58.68888889,63.65888889,2.71,2.5,14000,67.9,78,58.36666667,8.4,2099000000,1139000000,3.2,14.9,81.9,0.3517,59,42,,0.135,0.182,,6,,0.28,0.2604,0,0,0,12000,19.17888889,8476,0,0,0,0,0,0,-0.352,0.1,0.644,,428,16800,128800,195,25900,13,3,10,,100,3065,,3.798888889,2,4,9,4,1,1,2,3
69,2011.46,Dominica,3,Dominica,Dominica,DMA,212,54,0,6.599962963,1.667,2,,,,,,,,,,,,,,,,,,,,18.8,29.66666667,23.16666667,,100,94,,,,,,,,2,,,0,,,,,,,0.9,1.7,21.66666667,,,,0,12965,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0,0.1,67.7,67.2,,,,,,,,,,,73.26666667,1.128888889,25.86666667,0.7,,,,,26.5,81.56666667,72.26666667,104.7666667,68.06666667,,9.166666667,3.9,16.66666667,59.36666667,550,,38,4,1,,,,9,11,119,209,580,4.766666667,3.9,,,5.4,,32.7,14.56666667,6.298888889,312.3666667,15.4,1.3,62,0.4,0.6,4883,3.366666667,2.1,,,,,,,,161,370,,37.6,338,15.4,,,55.6,7,751,751,0,0,148,72969,22.86666667,66.76666667,10.3,0.214,15.61888889,8.06,-5.428888889,67,0.3,12.77888889,17.10888889,8.23,75.98,73.03,79.07888889,2.068888889,,,,,,4.7,765400000,375000000,17.66666667,32.76666667,49.5,0.024999999,23,30,,0.343,0.277,78,0.1,,0.085,0.07905,0,0,0,1000,0,838.2,0,0,0,0,0,0,-0.071999959,0.094,0.296,,0.213,17500,106000,718,28000,2,2,,,,780,,,0,7,2,1,5,0,3,1
70,2011.46,Dominican Republic,3,Dominican Republic,Dominican Republic,DOM,214,42,0,8,0,2,,0.56,0.624,0.638,0.663,0,,0.85,0.61,,0.499,0.678,0.45,0.407,48.36666667,0.646,87,150,108.7,17.1,49.7,41.76666667,72.9,99,98,0.047962963,11.06666667,13.16666667,17.5,13.06666667,13.16666667,48.5,2,4,26.8,0,12,2,16,-0.3,81,20,1.3,2.1,22.1,7,14,17,256,3319,,,0.3,0,27,21,13,12,7.566666667,7.4,69,80,57,21.5,556,7,38,7.4,10.16666667,12.4,1.9,1.166666667,55.2,69.2,20.3,25,73.2,59.26666667,3.266666667,2.5,103.7,104.0666667,43.5,43.5,57.6,1.36,42.36666667,0.62,4.9,10,84,88.2,27.6,104.2666667,80,74.9,57.7,33.26666667,31.16666667,3.366666667,19.6,89.2,411,19,10,23,21,0.6,0.3,1.1,27,33,127,188,794,2.2,1.9,,0.6,3.266666667,15.9,18.16666667,6.266666667,0.3,15.5,43.5,7.766666667,357,45.5,80.76666667,4576,3,16,,,,4,39,70,,82,412,,21.6,556,2.266666667,,0.7,28.86666667,10,48670,48320,350,360,1288,9956648,29.5,64,6.5,1.331,19.67,4.348888889,-2.008888889,69,2.1,22.21888889,24.21,20.14,77.31,75.15888889,79.54888889,2.44,0.9,57000,87,86.76666667,87.2,2.298888889,84940000000,50870000000,11.5,21,67.5,4.498,14.16666667,42.2,15.4,7.11,8.634,41.7,6.298888889,1.5,14.02,12.7,0,0,0,118000,0,116200,0,0,0.47,0,0.47,0,-3.862,6.161,14.53,2.705,13.09,965400,8630000,283298,2701000,35,16,19,,142,19705,,0.7,0,8,0,1,5,0,3,0
71,2011.46,Timor-Leste,16,Timor-Leste,Timor-Leste,TLS,626,860,0.833,0,0,2,,,,0.428,0.502,11,,,,,0.334,0.438,0.197,0.433,31.86666667,,,380,53.76666667,29.16666667,,,10,61,19,,,,,,,39.7,2,2,16,0,,0,,,,,,0.2,6.066666667,,31,50,316,93,,,0,0,18,23,,,,,,,,,,,,0.7,1.166666667,2.1,2.7,3.366666667,20.8,28.1,19.36666667,17.36666667,72.06666667,91.2,5.7,6,106.2,104.7,63.76666667,66.76666667,,,,,63.2,4,,,,106.5666667,75.9,54.7,31.36666667,15.16666667,,12.5,37.36666667,,116,1,,21,27,,,,75,93,204,275,663,7.066666667,11.5,,4.7,,,21.8,,9.5,252.3,69.9,,,0.5,0.9,453,1,5.2,,,,81.9,,,,,,,,,0,,20,36.2,31,14874,14874,0,228,706,1177834,33.76666667,62.5,3.6,1.981,25.69888889,5.888888889,0,28,5,38.00888889,43.78888889,31.94888889,67.95,65.54,70.46888889,3.128888889,,,58.6,,,16.8,3051000000,628000000,32.2,12.8,55,0.4142,20,42,,1.481,0.838,,7.798888889,8.5,,,0,0,96270,2500,100900,,553.7988889,0,0,0,0,200,1.161,0.01,0.202,,,2400,116000,206,2100,6,2,4,8,,6040,,,1,0,0,1,2,1,0,0
