app_Brown	app_Cameron	app_Clegg	persfin	natecon	affect_fc	app_Afgh	MP_resign	gender	age	rent_own	memb_union	income	vote_intent
0	5	7	3	4	2	0	2	1	55	0	0	3	3
3	8	5	1	2	2	0	1	1	74	0	0	2	2
10	1	1	1	1	4	0	1	1	47	1	0	2	1
0	6	3	2	5	3	0	1	0	78	0	0	4	2
7	0	7	3	3	4	0	2	1	71	0	0	5	1
3	2	8	4	4	2	0	1	0	25	1	0	9	3
1	8	5	2	1	3	0	1	1	74	1	0	4	2
7	0	5	2	1	4	0	2	1	62	0	0	9	1
3	6	1	3	2	2	0	1	1	87	0	1	3	2
0	2	4	2	1	2	1	1	0	37	0	0	9	3
7	6	7	3	4	3	0	1	1	57	0	1	10	3
5	5	5	2	4	2	0	2	0	30	1	1	5	2
7	3	5	2	3	4	0	1	0	82	1	0	3	1
1	3	6	3	2	3	0	1	1	54	0	0	12	3
10	9	5	2	1	2	1	3	1	54	1	0	3	1
8	8	5	1	1	1	0	2	1	73	0	0	3	2
7	5	5	3	4	4	1	3	0	34	0	0	9	1
8	5	7	2	1	2	0	2	1	46	0	1	12	3
6	6	0	2	1	2	0	1	1	34	0	1	11	2
3	6	5	3	2	1	1	3	0	35	0	1	10	3
5	6	2	3	1	2	0	3	1	46	0	0	13	2
3	7	1	3	2	4	0	1	1	73	0	0	3	2
3	8	4	2	1	2	1	1	0	72	0	0	6	2
3	1	5	4	3	4	0	1	1	75	1	0	3	3
3	7	5	2	2	3	0	1	0	71	0	0	3	2
0	4	5	2	3	2	0	1	1	34	1	0	6	3
6	5	5	4	4	4	1	1	1	57	0	1	9	1
8	7	8	3	1	2	0	2	0	45	1	0	3	3
6	6	4	2	3	2	1	1	0	48	0	0	12	2
2	7	5	2	5	4	0	1	1	38	0	0	11	3
4	8	5	3	4	1	1	2	0	66	0	0	11	2
3	3	2	2	2	1	0	2	1	49	0	1	3	2
6	6	5	2	2	3	0	1	0	65	1	0	2	1
8	5	3	1	1	2	1	1	0	28	0	0	4	1
3	7	6	3	1	2	0	3	0	28	0	0	12	2
7	3	5	3	2	3	1	1	0	28	0	0	9	1
6	8	7	4	4	3	0	1	0	28	1	0	6	2
1	6	6	2	2	3	0	1	1	83	0	0	2	3
7	0	5	3	1	2	0	1	1	65	1	0	2	1
0	8	7	3	1	3	0	1	0	59	0	0	11	2
0	7	0	5	3	1	1	1	0	37	0	0	7	2
3	5	6	3	2	3	0	1	0	54	0	1	11	3
6	2	2	2	4	3	0	3	0	26	0	0	9	1
2	8	0	2	2	4	0	1	1	83	1	0	2	2
6	6	3	3	1	4	0	1	1	56	0	1	6	3
0	6	4	1	1	1	0	1	1	70	1	0	4	2
5	5	2	4	2	3	1	2	1	45	0	1	4	1
2	6	4	4	2	4	0	1	1	87	0	0	3	2
1	9	5	1	1	1	0	2	0	43	0	0	12	2
3	6	5	2	1	1	1	2	1	58	0	0	7	2
0	7	5	2	1	2	0	1	1	71	0	0	4	2
2	7	4	4	1	2	0	3	1	73	0	1	6	2
3	7	6	3	2	2	0	1	0	58	1	0	1	2
3	8	5	4	4	2	1	1	1	33	1	0	2	2
8	3	4	3	2	4	1	3	0	63	0	1	7	1
5	5	3	2	1	2	0	3	1	53	0	0	7	2
2	8	4	2	1	2	0	2	1	43	0	0	2	2
5	7	3	4	4	1	0	1	1	35	0	0	9	2
7	5	3	2	1	2	0	3	1	56	0	1	5	1
5	5	7	2	1	1	0	1	0	34	0	0	5	3
0	7	4	3	1	3	1	1	1	78	0	0	6	2
2	8	3	2	2	1	0	3	1	78	0	0	4	2
0	5	0	3	1	4	0	1	0	34	1	0	1	1
7	0	6	3	2	4	0	1	1	55	0	1	5	1
0	5	5	1	1	3	1	1	1	43	1	0	6	2
1	8	5	2	1	2	0	3	0	69	0	0	3	2
5	6	6	2	1	2	0	1	1	61	0	0	5	2
5	0	10	1	1	1	0	1	1	46	0	0	11	1
7	4	7	3	2	2	0	2	0	26	0	0	12	3
8	1	4	3	3	4	0	3	0	88	1	0	3	1
0	5	3	3	2	4	0	1	0	66	0	0	12	2
0	8	4	2	1	3	0	1	1	88	0	0	2	2
7	4	5	2	1	2	0	1	1	36	0	0	4	1
10	0	5	3	2	4	0	1	1	83	1	0	5	1
7	7	5	3	1	3	0	2	0	37	0	0	11	1
0	5	5	2	2	2	0	1	1	56	0	1	12	2
3	3	7	2	4	2	1	1	0	37	0	0	10	3
3	7	5	2	1	2	0	2	0	55	0	1	15	2
4	3	5	3	2	2	0	1	1	49	0	1	3	1
3	5	1	1	1	2	0	1	0	18	1	0	4	1
8	2	0	3	2	4	1	1	0	76	0	0	4	1
9	7	6	3	5	2	1	1	0	26	0	0	7	2
8	7	8	4	5	1	1	1	0	55	0	1	11	1
0	10	3	2	2	1	1	1	0	63	0	0	3	2
5	5	7	3	2	2	0	2	0	42	0	0	12	2
4	5	4	1	1	1	0	1	0	81	0	0	2	3
8	0	7	2	2	3	1	1	0	70	1	0	2	1
0	10	3	2	2	4	0	1	0	53	1	0	2	2
7	7	5	1	1	1	1	3	0	45	0	0	4	1
6	7	3	1	1	1	0	1	0	33	1	0	10	2
5	7	5	3	2	4	0	2	0	46	0	1	6	2
1	4	4	3	2	4	0	3	1	76	1	0	2	3
1	7	4	3	1	2	0	2	0	65	0	0	4	2
3	5	3	4	1	2	0	1	0	29	0	0	13	2
9	4	3	2	1	4	0	1	0	50	0	1	6	1
2	5	5	2	1	2	1	1	0	34	0	0	3	2
0	7	4	1	1	1	1	1	1	34	0	0	6	2
6	4	4	3	2	3	1	2	1	30	0	0	4	1
6	5	5	3	2	4	0	3	0	73	0	0	5	1
8	6	9	3	4	2	1	3	1	40	0	0	15	1
7	2	2	2	2	2	0	1	1	72	1	0	1	1
7	9	5	2	4	2	1	1	1	65	0	0	5	2
5	2	9	5	4	2	0	1	0	48	0	0	11	3
0	5	5	3	2	1	0	1	0	42	0	0	10	2
2	5	5	3	2	4	0	1	0	56	0	1	14	3
6	5	5	4	2	2	0	1	0	29	0	0	11	3
5	5	6	3	2	2	1	2	0	66	0	0	6	3
4	5	5	2	1	2	0	1	1	63	1	0	4	2
8	5	2	3	4	3	1	3	1	58	1	0	3	1
6	5	8	3	2	3	0	1	0	56	0	0	5	3
5	5	6	2	3	3	1	1	1	52	0	0	1	2
2	9	4	2	1	1	0	3	0	62	0	0	11	2
2	7	5	3	2	4	1	1	0	40	1	0	8	2
0	6	6	2	3	1	0	3	0	64	0	0	5	2
8	0	5	2	1	2	1	1	0	46	0	0	3	1
5	5	6	3	1	2	0	2	1	66	0	1	7	3
5	7	8	1	1	2	1	1	1	46	0	1	7	3
6	3	5	3	1	2	0	1	0	57	0	1	11	1
6	5	4	3	1	3	0	1	1	37	0	0	3	1
7	7	7	4	4	1	0	3	0	42	0	0	15	2
0	8	2	2	1	2	0	1	1	75	0	0	3	2
6	6	7	3	3	4	0	1	1	46	1	0	6	3
1	5	2	2	1	3	0	1	0	66	0	0	6	2
0	7	4	3	1	2	0	1	0	39	0	0	15	2
7	3	5	2	1	2	1	1	0	44	0	1	13	1
4	9	6	1	5	3	1	1	1	51	0	0	15	2
6	0	0	3	4	4	1	3	0	86	0	0	2	1
4	7	5	4	1	3	0	1	1	34	0	0	5	2
0	8	5	2	3	3	0	1	1	56	1	0	12	2
5	7	8	3	2	2	1	2	1	30	0	0	9	2
1	8	7	2	4	2	0	1	1	27	0	0	11	2
0	7	5	1	1	1	0	1	0	59	0	0	8	2
2	9	5	2	1	1	0	1	1	37	0	0	12	2
5	5	5	4	4	3	0	2	1	51	0	1	8	3
3	8	2	2	1	4	0	1	0	61	0	0	11	2
8	4	6	2	1	1	0	1	1	71	0	0	5	2
2	8	5	2	1	3	0	1	0	83	0	0	3	2
7	3	4	3	3	2	0	2	1	38	0	0	11	1
0	10	5	3	1	4	0	1	1	43	0	0	2	2
3	9	6	2	3	2	0	2	1	61	0	0	1	2
4	8	5	2	1	3	0	1	1	68	0	0	11	2
1	8	5	1	4	2	0	1	0	66	0	0	7	2
5	6	5	1	2	1	1	1	0	31	1	0	3	2
4	8	6	2	2	2	1	1	0	63	0	0	15	2
3	7	6	2	1	2	0	1	1	68	0	0	5	2
3	3	4	2	1	2	0	1	1	32	1	0	7	3
3	7	5	4	2	4	1	1	1	30	0	0	15	2
6	2	4	4	2	3	1	1	0	45	0	0	15	1
2	8	6	2	1	2	0	1	0	42	0	0	15	2
4	7	4	3	1	1	0	3	0	45	0	0	14	2
5	7	6	3	2	3	0	1	1	91	0	0	8	2
0	6	5	1	1	1	0	1	0	49	0	0	13	2
3	7	5	3	2	4	0	3	0	23	0	0	15	2
5	6	5	2	1	3	1	2	0	44	0	0	4	2
3	8	6	3	4	3	0	3	0	29	0	0	15	2
0	10	6	2	1	3	0	1	0	66	0	0	5	2
7	4	5	3	1	4	0	2	1	54	1	0	6	3
4	6	5	3	2	2	0	1	0	56	0	0	6	2
0	6	8	3	2	2	1	1	0	62	0	0	6	3
0	5	2	2	1	1	1	1	0	62	0	0	7	2
3	6	3	2	1	2	0	1	0	50	0	0	6	2
3	8	3	3	2	4	0	1	1	39	0	0	9	2
8	7	6	3	4	4	0	1	1	86	1	0	3	1
